name,region,country,country_code,population,surface,images,executed,processed,aggregated,density,folder,B_n_nodes,B_m_street,B_bicycle_det,B_car_det,B_bus_det,B_motorcycle_det,B_truck_det,B_parking meter_det,B_bench_det,B_food_place_agg,B_education_agg,B_transportation_agg,B_financial_agg,B_entertainment_agg,B_public_service_agg,B_facility_agg,B_waste_agg,B_other_agg,B_residential_lu,B_grass_lu,B_forest_lu,B_cemetery_lu,ind,folder2,t_n_nodes,t_m_street,t_bicycle_det,t_car_det,t_bus_det,t_motorcycle_det,t_truck_det,t_parking meter_det,t_bench_det,t_food_place_agg,t_education_agg,t_transportation_agg,t_financial_agg,t_entertainment_agg,t_public_service_agg,t_facility_agg,t_waste_agg,t_other_agg,t_residential_lu,t_grass_lu,t_forest_lu,t_cemetery_lu
The Hague,Zuid-Holland,the Netherlands,NL,552995,82.45,589732,1,1,1,6707.0345664038805,The Hague_NL,0.006898444187732074,0.0006082610932592219,0.21474340976405187,-0.003479612560800038,0.5418885939261334,0.8036762403605529,0.2020289148415113,0.9245506559367771,0.6735534093946712,0.2781025495284103,0.08254752807794158,0.057717925500028064,0.24394154416588343,0.12674522226147944,0.1155670903391793,0.07970863736011018,-0.026204022389601143,0.08574500742693358,-5.8354893529619895e-06,-1.5150009077024762e-05,-1.3880806491727113e-05,2.2976690654683478e-06,0.0,/Users/francisco/Developer/Cities/The Hague_NL,4.144521855501539,14.231524476662527,20.25440869269413,-3.719338711659033,8.124139637485856,20.9377732274494,6.658559785184961,2.843161199184377,14.639348532413866,39.215826592174366,2.1028375124712433,3.231957686436792,12.27105479947227,5.487042561061841,3.9352767500881,8.938539533000439,-1.9013390406339976,3.062131009564372,-3.4041484682529237,-4.729338664734308,-4.553828794394449,0.21495119755584033
Amersfoort,Utrecht,the Netherlands,NL,158712,62.62,284510,1,1,1,2534.52571063558,Amersfoort_NL,0.008047741049375216,0.00022700046378296235,0.4028942605054213,0.004372789197829323,0.29205177241089575,0.7777511043193714,-0.04259258159608545,-0.16971517363642308,0.23113308808897673,0.0843501012176335,0.0524277503054109,0.00012254706252128308,-0.05568329564621806,-0.1555090479219807,0.05101375403666557,-1.5245655787573943e-18,-4.207370052916649e-17,0.29497357537260727,5.181673075708846e-06,-2.8293776596668626e-07,-2.0004294700680903e-06,-9.007559294116471e-06,1.0,/Users/francisco/Developer/Cities/Amersfoort_NL,5.3607067644059665,6.934112801807288,29.566402568733345,5.068475464912662,5.245947324040359,20.118003147786883,-2.063096467572283,-1.1419720605074493,7.78750877202095,1.240797617019576,3.9862370308957376,0.35681156066986164,-1.5571336448475765,-2.022999623691145,0.6004503237979267,-0.030205247815072476,-0.8048109644241787,10.525473309225978,4.833981235559027,-0.3229132283889396,-1.246622598995422,-0.5045377468324179
Amstelveen,Noord-Holland,the Netherlands,NL,92351,41.13,202047,1,1,1,2245.344031120836,Amstelveen_NL,0.0012806546714426328,0.0003230207698568935,0.5342654945247842,0.001751644190242269,1.0319003800295765,0.1633085788365115,-0.06408426765580381,1.0391848142451054,0.125140884094578,0.18217017157981114,0.1976931550472763,0.06567336161014076,0.06406302634568267,-0.16955805227681142,0.14797660450169375,0.01992115034459864,0.06610688711977182,-0.01989647522205857,-5.450525809459619e-06,8.378326528524214e-07,2.667131660723254e-06,4.469435106748087e-07,2.0,/Users/francisco/Developer/Cities/Amstelveen_NL,0.8166198569426113,8.926075555047525,32.18086816808052,1.6786602942933952,13.792974808043844,2.7384730107933395,-1.829699407208737,3.582784169414217,5.3271548717772665,13.758259320633838,4.180783641509092,3.0787303196854423,2.548740533610007,-2.4411135654401663,4.170002614402385,1.6501445390829015,4.38687618816973,-0.37004273931382986,-3.391911334515777,0.8368584584176788,1.2611586521737144,0.009879469026631704
Delft,Zuid-Holland,the Netherlands,NL,104468,22.65,143396,1,1,1,4612.273730684327,Delft_NL,0.0021930600524379578,0.00041612194437415617,0.24520111175790885,0.0002692739645865534,0.40312451961900064,0.30407605349205546,0.07102836458234314,-0.13918653397269962,0.2858359922535112,0.3353137324523452,0.1231240780387162,0.008834671864100734,0.10407532888041539,0.014870558696739117,0.025867740061387874,0.001026667460758356,-0.010408126576604448,0.021541932064118148,3.234088925514733e-06,-3.835225967631e-06,-5.800403371631725e-06,-1.9557165006111154e-05,3.0,/Users/francisco/Developer/Cities/Delft_NL,0.9663172632151255,7.3706417122368695,21.614360311199114,0.2074589531581323,4.351171711363075,8.206459912614903,1.7723886948209597,-0.5650734020030109,5.05159560929749,35.73335966647379,3.5579149353208686,0.9670006471816437,3.8447702805523964,0.4757059939724617,0.6755855583913634,0.10079943318242521,-1.0373677791082352,0.4802103477957448,1.5580602683260978,-1.4448802756874806,-1.438486453855158,-1.293852534320196
Dordrecht,Zuid-Holland,the Netherlands,NL,119576,78.54,210610,1,1,1,1522.4853577794754,Dordrecht_NL,0.011173473133399593,6.449696953503242e-05,0.7457721966312026,-0.0006436137365099414,0.38098706091407636,0.5725844466630279,0.01950637275183497,-0.1229772873572572,0.08686451435564155,0.5973130801930102,0.18456945525629442,0.013902139851441099,0.25352686788994233,0.12994041674813386,0.00829322998974558,0.0824316749803318,0.005546197039310686,-0.0016156073267194779,8.290188012053182e-06,-5.717184140569559e-07,-9.556746309735093e-07,-4.342718314720923e-06,4.0,/Users/francisco/Developer/Cities/Dordrecht_NL,8.09108056548642,2.495857237212344,48.50191452600951,-0.958221581937033,8.295236152712912,12.184874402218956,1.310429067752952,-0.5802921438306282,4.195952664416087,42.25412426229621,7.940239947550585,0.9619668583158744,12.038893064795795,3.070280145885807,0.41762628701848065,10.859803718358362,0.27541781404144944,-0.12576440742234032,8.375700506719141,-0.7827948542306148,-0.9253024158327997,-0.5011838906756617
Eindhoven,Noord-Brabant,the Netherlands,NL,238478,87.66,534441,1,1,1,2720.488250057039,Eindhoven_NL,0.010736189049677847,0.00020436523661540717,0.24891479967279703,0.004061253528713026,0.02868686300604588,0.6894332901867327,0.031603306063567524,0.0481155555441691,0.22491244472658198,0.23298273433386227,0.13996604231067045,0.0678447667929746,0.3772161753629379,0.5413717275623221,0.0913898789951994,-0.014511662447873214,0.01275189280637786,0.10698468371413142,8.864720793950561e-07,-1.178530995224455e-06,-1.4695905069406764e-06,-3.1742603890489725e-06,5.0,/Users/francisco/Developer/Cities/Eindhoven_NL,6.7816968235225605,5.85693474730234,20.41068983617456,5.186218850905979,0.7160142834489156,13.297289463702826,1.4652316055986478,0.19721135637877016,6.693596974061534,30.29303436308561,2.9928060999476904,5.297711867857249,13.006323130102508,11.738685582131414,2.7734390165881466,-1.484486125190433,0.9737542456958037,1.6986206941417106,0.8073724585578009,-0.7927379991363325,-0.8842566245459734,-0.28218773517515167
Gorinchem,Zuid-Holland,the Netherlands,NL,37635,18.83,61012,1,1,1,1998.6723313860862,Gorinchem_NL,0.0038072443551388346,0.00011662062219834897,0.17754121868893463,0.00759215768747231,0.11730202057811767,0.9969175545655667,-0.012411819426782288,0.37247427277005946,0.3068464191495385,0.17979869215182126,0.04025261805318045,-0.04741821324563515,0.06949507662593976,0.026330702461566463,0.18011252241025408,0.028475699049278807,0.02296532971197025,0.007242557646486195,5.386947577124586e-06,9.306330008927243e-07,-2.264505358112018e-06,-1.397549940368316e-05,6.0,/Users/francisco/Developer/Cities/Gorinchem_NL,2.0044065086539966,2.6601238936828056,10.451977638381157,6.172548617200847,1.6708854234259412,12.208561716881853,-0.5001261527999038,0.9755164320103075,5.650603323350273,12.302140659014741,0.8173574588216252,-1.216580848098985,2.024884132243705,0.4812226064924654,4.268210737652395,3.5845929479260246,3.3945711092314683,0.1667632451525359,3.4248968695317012,0.7987669167526167,-0.4972319633919056,-0.9481575985747253
Gouda,Zuid-Holland,the Netherlands,NL,74165,16.5,78900,1,1,1,4494.848484848485,Gouda_NL,-0.0014703641754678677,0.00046163841748864424,0.3555190021488388,-0.003119529814503764,0.32696086197422447,1.3352632496709227,-0.05236550583083949,0.6504592811307774,0.09656970612721771,0.3121842233885394,-0.07714866707895002,0.0050412939626178835,-0.005883047519976564,0.4054238587571719,0.1727370165715038,0.02003539021185796,-0.05387058396260872,-0.09441808621097716,1.097666704476399e-05,8.108558847061735e-07,1.25276063075469e-06,-7.638475157481383e-07,7.0,/Users/francisco/Developer/Cities/Gouda_NL,-0.3837215326972738,5.489344508875723,15.266521206252731,-1.648920983830524,3.3628730712250614,15.522409576453605,-0.8775806360911647,1.6306755758884006,1.2368255598086917,15.75445894210066,-0.8707832927997344,0.1378199566326095,-0.10339629524956882,3.4997543522423324,3.1001080248903556,1.2998687146684,-1.776192731599335,-1.57544480057169,3.7443067019671274,0.2111171671759456,0.0902103039187083,-0.028733324328903173
Haarlem,Noord-Holland,the Netherlands,NL,162914,29.17,188482,1,1,1,5584.984573191635,Haarlem_NL,0.012697731257632556,0.00020498448685301587,0.1816575500941317,-0.00021422601610837175,0.9218062721823048,0.683740841716167,0.008567842713356234,0.08086144891522631,0.21227793888908333,0.321184094769493,0.28463842095413594,0.041402664330362174,0.16528409575982067,0.2555540387319827,0.07874198870471406,0.02305350465493123,0.06391642286729274,0.15414616643954723,1.0075812473749575e-05,5.193221359903169e-07,-8.190298654220125e-06,-3.3234903907233133e-06,8.0,/Users/francisco/Developer/Cities/Haarlem_NL,4.412443268086939,3.1214865138016776,14.315467332827712,-0.17819865629119752,10.899860479324174,12.114749552830336,0.23140205500654593,0.2173819519704406,3.8420507892781774,28.60898593976259,4.973818807966768,2.1817141736481354,3.3838745410235496,4.041118281749203,1.6284803951645297,2.1240462284260504,4.2899610861153965,4.512362188377067,4.717155672086475,0.1771155657370207,-1.348661113215133,-0.21939417865600128
Halderberge,Noord-Brabant,the Netherlands,NL,30771,74.47,90180,1,1,1,413.1999462870955,Halderberge_NL,-0.0019086113816078256,0.00017187339124398373,0.23743661905604657,0.013767802282489472,-0.11650050340830816,0.25592901266129364,0.04212823574794205,0.2690215650949369,0.011809280670440176,0.1285154921603441,0.05944890598482655,0.06454172043686013,-0.01638835336295908,0.08273147923417348,0.15619523673841298,0.018331014578118497,0.02760853788380783,-0.004677108413393263,3.893751067485316e-06,3.682328237942485e-07,-2.2124462526784586e-07,-8.004082256686708e-06,9.0,/Users/francisco/Developer/Cities/Halderberge_NL,-1.5888088338385329,8.55640985393592,12.518874944214762,14.440601114751757,-2.7691203608194117,5.796324113679134,3.087531963746093,0.39212069453442366,1.119166259277983,9.161182169795921,1.4086621051304917,3.5121877274769417,-0.8050034374612941,2.1780232182631662,6.7643414375969275,2.6411288413153757,1.6999668219624757,-0.09535603958082461,6.831353177010736,0.9886938981120604,-0.2245918655191717,-0.927895959716735
